# text	start:end:type,...
银河社中心医院完成系统升级	0:7:ORG
字符串优化知识库	-
福林人民医院发布了新模型	0:6:ORG
曹爽前往楠木村并加入裴庄联合实验室	0:2:PER,4:7:LOC,10:17:ORG
报告由云灵科技有限公司提交	3:11:ORG
我们与南湾联合实验室签署协议	3:10:ORG
这所大学今天开学	-
我们与中兴产业集团签署协议	3:9:ORG
医院附近交通拥堵	-
货物已经抵达金谷村	6:9:LOC
他从商河镇返回	2:5:LOC
团队前往近城镇开展调研	4:7:LOC
项目位于下湾附近	4:6:LOC
高昂的成本需要控制	-
我们联系了田畴	5:7:PER
货物已经抵达交暨路	6:9:LOC
王宜胜参加了项目评审	0:3:PER
你还小明天再说	-
货物已经抵达文山村	6:9:LOC
报告由陈港科技有限公司提交	3:11:ORG
阿仰在技术团队工作	0:2:PER
我们与马灯人民医院签署协议	3:9:ORG
刘豹今天发表讲话	0:2:PER
他从武昌县返回	2:5:LOC
他从埔当村返回	2:5:LOC
会议由陈公博主持	3:6:PER
他从吴郡返回	2:4:LOC
武平产业集团完成系统升级	0:6:ORG
于皓精神广为流传	0:2:PER
田间管理需要加强	-
溪南技术委员会完成系统升级	0:7:ORG
医院附近交通比较拥堵	-
会议由杜宣主持	3:5:PER
劳动新大学发布了新模型	0:5:ORG
他加入了栗庄人民医院	4:10:ORG
二里界科技有限公司发布了新模型	0:9:ORG
路由器出现网络故障	-
龙石大学完成系统升级	0:4:ORG
鲁班科学院完成系统升级	0:5:ORG
他从前进街返回	2:5:LOC
项目位于文化步行街附近	4:9:LOC
田间管理需要加强	-
路由器出现网络故障	-
武内英树今天发表讲话	0:4:PER
他加入了稠树塘数据研究院	4:12:ORG
韩琦精神广为流传	0:2:PER
他加入了爱国大学	4:8:ORG
阿毋前往龙坪村并加入龙坪智算中心	0:2:PER,4:7:LOC,10:16:ORG
项目位于公园北街附近	4:8:LOC
我们与麻陇彝族科学院签署协议	3:10:ORG
他加入了秦皇南证券交易所	4:12:ORG
刘忻精神广为流传	0:2:PER
他加入了芝苞大学	4:8:ORG
我们联系了李冬梅	5:8:PER
阿海前往可慕村并加入可慕产业集团	0:2:PER,4:7:LOC,10:16:ORG
红岩村发布了最新通知	0:3:LOC
烟袋斜技术委员会发布了新模型	0:8:ORG
报告由部门提交	-
高仙芝参加了项目评审	0:3:PER
我们与三义里社商业银行签署协议	3:11:ORG
他加入了范北技术委员会	4:11:ORG
报告由泰兴南数据研究院提交	3:11:ORG
我们联系了邱少云	5:8:PER
货物已经抵达分金街	6:9:LOC
货物已经抵达滕县	6:8:LOC
他从钱山返回	2:4:LOC
报告由梅州智算中心提交	3:9:ORG
兰村人民政府完成系统升级	0:6:ORG
大学毕业以后继续深造	-
宁化新人民医院发布了新模型	0:7:ORG
我们联系了李先念	5:8:PER
小西人民医院发布了新模型	0:6:ORG
陆军正在组织训练	-
字符串优化知识库	-
我们联系了郭忠	5:7:PER
天门市发布了最新通知	0:3:LOC
高昂的成本需要控制	-
项目位于珞狮南路附近	4:8:LOC
项目位于石墙村附近	4:7:LOC
定安数据研究院发布了新模型	0:7:ORG
项目位于云集村附近	4:7:LOC
钱志伟前往随州市并加入随州商业银行	0:3:PER,5:8:LOC,11:17:ORG
他加入了玉泉商业银行	4:10:ORG
陈登龙前往共和路并加入共和技术委员会	0:3:PER,5:8:LOC,11:18:ORG
我们与护国寺科技有限公司签署协议	3:12:ORG
余叔岩精神广为流传	0:3:PER
货物已经抵达瓜园则湾乡	6:11:LOC
货物已经抵达枣园刘村	6:10:LOC
郑虔今天发表讲话	0:2:PER
五桂村发布了最新通知	0:3:LOC
项目位于广州北路附近	4:8:LOC
南京市长今天讲话	0:2:LOC
藩库人民政府完成系统升级	0:6:ORG
程瑞声前往葛家岔镇并加入葛家岔智算中心	0:3:PER,5:9:LOC,12:19:ORG
报告由首山大学提交	3:7:ORG
他从祖门村返回	2:5:LOC
宁康智算中心完成系统升级	0:6:ORG
我们联系了郝立新	5:8:PER
团队前往沧州市南大港开展调研	4:10:LOC
钱仓路发布了最新通知	0:3:LOC
他从白潼村返回	2:5:LOC
货物已经抵达解放西街	6:10:LOC
赵忠尧前往泇口乡并加入泇口技术委员会	0:3:PER,5:8:LOC,11:18:ORG
桃园北人民政府完成系统升级	0:7:ORG
阿巢在技术团队工作	0:2:PER
会议由程季淑主持	3:6:PER
团队前往螺州开展调研	4:6:LOC
花园西村发布了最新通知	0:4:LOC
赵丹前往青湾并加入青湾数据研究院	0:2:PER,4:6:LOC,9:16:ORG
他从元山子村返回	2:6:LOC
团队前往现场开展调研	-
项目位于尖山村附近	4:7:LOC
王延钧前往杜英路并加入杜英联合实验室	0:3:PER,5:8:LOC,11:18:ORG
镜泊湖发布了最新通知	0:3:LOC
曹大章前往亚尔堂乡并加入亚尔堂人民医院	0:3:PER,5:9:LOC,12:19:ORG
长荣新联合实验室发布了新模型	0:8:ORG
记者采访了梅希文并发布报道	5:8:PER
临泉商业银行完成系统升级	0:6:ORG
杨振宁今天发表讲话	0:3:PER
我们与木卡科技有限公司签署协议	3:11:ORG
项目位于山内村附近	4:7:LOC
团队前往老贵州开展调研	4:7:LOC
报告由仙女数据研究院提交	3:10:ORG
项目位于魏家村附近	4:7:LOC
龙旺庄小技术委员会完成系统升级	0:9:ORG
他从黄村中里社区返回	2:8:LOC
他加入了养殖小智算中心	4:11:ORG
报告由日照大学提交	3:7:ORG
黄继光今天发表讲话	0:3:PER
张梓在技术团队工作	0:2:PER
我们与福建晋江市磁灶大学签署协议	3:12:ORG
金日焕精神广为流传	0:3:PER
团队前往湖三村开展调研	4:7:LOC
研究院正在建设新平台	-
宋曹前往勤奋路并加入勤奋智算中心	0:2:PER,4:7:LOC,10:16:ORG
王谋精神广为流传	0:2:PER
田间管理需要加强	-
我们与马奈科技有限公司签署协议	3:11:ORG
临夏人民政府完成系统升级	0:6:ORG
阿鱼前往花官营乡并加入花官营数据研究院	0:2:PER,4:8:LOC,11:19:ORG
会议由松山千春主持	3:7:PER
报告由考后商业银行提交	3:9:ORG
深圳证券交易所发布通知	0:7:ORG
景学义参加了项目评审	0:3:PER
我们联系了鲁阳	5:7:PER
李麟精神广为流传	0:2:PER
市长春节前发表讲话	-
货物已经抵达拱辰南街	6:10:LOC
阿蔡在技术团队工作	0:2:PER
团队前往新沂市开展调研	4:7:LOC
陈锡嘏精神广为流传	0:3:PER
报告由正巷技术委员会提交	3:10:ORG
常宝在技术团队工作	0:2:PER
报告由翡翠科技有限公司提交	3:11:ORG
陆军正在组织训练	-
他加入了虎坊证券交易所	4:11:ORG
团队前往启安村开展调研	4:7:LOC
大观科学院完成系统升级	0:5:ORG
楚武王前往伏虎村并加入伏虎科技有限公司	0:3:PER,5:8:LOC,11:19:ORG
阿水前往连里村并加入连里联合实验室	0:2:PER,4:7:LOC,10:17:ORG
他加入了种福产业集团	4:10:ORG
证券交易今天恢复正常	-
报告由横山桥证券交易所提交	3:11:ORG
他从杨树洼村返回	2:6:LOC
团队前往尖山路开展调研	4:7:LOC
货物已经抵达和平里北街	6:11:LOC
市长今天发表讲话	-
市长今天发表讲话	-
他从五福村返回	2:5:LOC
贾知若精神广为流传	0:3:PER
项目位于新市村附近	4:7:LOC
杨府数据研究院完成系统升级	0:7:ORG
大学毕业以后继续深造	-
他从青台山返回	2:5:LOC
桐城联合实验室发布了新模型	0:7:ORG
北位乡发布了最新通知	0:3:LOC
我们与枫叶新都科学院签署协议	3:10:ORG
团队前往栅堰新村开展调研	4:8:LOC
他加入了万丰大学	4:8:ORG
他加入了菜花数据研究院	4:11:ORG
他从茸木达乡返回	2:6:LOC
我们与溧水开发联合实验室签署协议	3:12:ORG
系统正在正常运行	-
高昂的成本需要控制	-
他加入了幸福三村社计算所	4:12:ORG
宛平产业集团完成系统升级	0:6:ORG
团队前往桂花街开展调研	4:7:LOC
会议由马士图主持	3:6:PER
我们与岭南科技有限公司签署协议	3:11:ORG
杨镇发布了最新通知	0:2:LOC
他加入了五一夜人民医院	4:11:ORG
锦江人民政府完成系统升级	0:6:ORG
证券交易今天恢复正常	-
会议由宋平主持	3:5:PER
瑞金大学完成系统升级	0:4:ORG
他加入了陈林科学院	4:9:ORG
市长今天发表讲话	-
老木乡发布了最新通知	0:3:LOC
会议由马其昶主持	3:6:PER
赵龙参加了项目评审	0:2:PER
欧阳婵娟前往东陆公路并加入东陆公联合实验室	0:4:PER,6:10:LOC,13:21:ORG
凌云今天发表讲话	0:2:PER
项目位于南车站路附近	4:8:LOC
他从马家滩镇返回	2:6:LOC
团队前往现场开展调研	-
我们联系了洪天贵福	5:9:PER
他加入了故仙人民医院	4:10:ORG
货物已经抵达盈洞瑶族乡	6:11:LOC
项目位于曲阜市附近	4:7:LOC
报告由萧山科学院提交	3:8:ORG
货物已经抵达朝晖三区	6:10:LOC
团队前往亚尔堂乡开展调研	4:8:LOC
他从东埔三村返回	2:6:LOC
仙霞人民医院发布了新模型	0:6:ORG
沈彤精神广为流传	0:2:PER
项目位于泸州市附近	4:7:LOC
会议由鱼翼主持	3:5:PER
团队前往大港开展调研	4:6:LOC
报告由镇靖证券交易所提交	3:10:ORG
我们联系了平夷	5:7:PER
我们与董家技术委员会签署协议	3:10:ORG
明世宗前往鄂城县并加入鄂城智算中心	0:3:PER,5:8:LOC,11:17:ORG
他从东小口地区返回	2:7:LOC
报告由色地科学院提交	3:8:ORG
他从黄牛蹄乡返回	2:6:LOC
项目位于栗子坪彝族乡附近	4:10:LOC
陆军正在组织训练	-
郑伦精神广为流传	0:2:PER
项目位于张先庄村附近	4:8:LOC
货物已经抵达大福村	6:9:LOC
库尔特产业集团完成系统升级	0:7:ORG
我们联系了虞泳	5:7:PER
李石曾今天发表讲话	0:3:PER
小李明天参加会议	0:2:PER
团队前往体育馆西路开展调研	4:9:LOC
货物已经抵达后泉路	6:9:LOC
赵沨今天发表讲话	0:2:PER
货物已经抵达新民藏族彝族乡	6:13:LOC
字符串优化知识库	-
报告由华严北里社计算所提交	3:11:ORG
项目位于五龙山附近	4:7:LOC
青山人民政府完成系统升级	0:6:ORG
孟珍前往吴兴路并加入吴兴人民医院	0:2:PER,4:7:LOC,10:16:ORG
报告由坑东大学提交	3:7:ORG
社旗人民医院发布了新模型	0:6:ORG
会议由韩林儿主持	3:6:PER
我们联系了陈炯明	5:8:PER
聚宝新联合实验室发布了新模型	0:8:ORG
团队前往偏坡峪村开展调研	4:8:LOC
货物已经抵达下溪村	6:9:LOC
系统正在正常运行	-
团队前往凤凰新村开展调研	4:8:LOC
他从柯厝村返回	2:5:LOC
司马望今天发表讲话	0:3:PER
项目位于集中村附近	4:7:LOC
我们与前北营联合实验室签署协议	3:11:ORG
他从梧坑村返回	2:5:LOC
项目位于团乡村附近	4:7:LOC
杨炯精神广为流传	0:2:PER
货物已经抵达广东龙岗区布吉镇	6:14:LOC
负责人参加了项目评审	-
他从小何西村返回	2:6:LOC
丁尼生精神广为流传	0:3:PER
杨再兴在技术团队工作	0:3:PER
文德里村发布了最新通知	0:4:LOC
我们与孔府技术委员会签署协议	3:10:ORG
陈逸飞精神广为流传	0:3:PER
严健参加了项目评审	0:2:PER
团队前往金穗街开展调研	4:7:LOC
我们与南王大学签署协议	3:7:ORG
会议由方天丰主持	3:6:PER
我们联系了阿井	5:7:PER
丹景中心医院完成系统升级	0:6:ORG
普通用户今天提交申请	-
刘锴前往崇山东路并加入崇山东人民政府	0:2:PER,4:8:LOC,11:18:ORG
报告由姚港商业银行提交	3:9:ORG
我们与龙岩人民政府签署协议	3:9:ORG
项目位于新道街附近	4:7:LOC
货物已经抵达市河	6:8:LOC
你还小明天再说	-
万寿科学院发布了新模型	0:5:ORG
会议由朱剑秋主持	3:6:PER
研究院正在建设新平台	-
我们联系了丁薇	5:7:PER
团队前往买巴乡开展调研	4:7:LOC
时代超商业银行完成系统升级	0:7:ORG
王家楫参加了项目评审	0:3:PER
记者采访了蔡格并发布报道	5:7:PER
我们与景洪商业银行签署协议	3:9:ORG
马家庄村发布了最新通知	0:4:LOC
范蠡在技术团队工作	0:2:PER
报告由部门提交	-
高昂的成本需要控制	-
尖垡产业集团发布了新模型	0:6:ORG
宣帝在技术团队工作	0:2:PER
团队前往九樵路开展调研	4:7:LOC
桐木溪联合实验室完成系统升级	0:8:ORG
学庄乡发布了最新通知	0:3:LOC
和睦小区发布了最新通知	0:4:LOC
梁刚精神广为流传	0:2:PER
我们与老河口人民政府签署协议	3:10:ORG
大学毕业以后继续深造	-
东大道乡发布了最新通知	0:4:LOC
货物已经抵达天连村	6:9:LOC
张卓前往荥阳县并加入荥阳商业银行	0:2:PER,4:7:LOC,10:16:ORG
他从十字路返回	2:5:LOC
高昂的成本需要控制	-
研究院正在建设新平台	-
报告由变电所中心医院提交	3:10:ORG
沈容前往武山并加入武山技术委员会	0:2:PER,4:6:LOC,9:16:ORG
昆明人民医院完成系统升级	0:6:ORG
会议由马修斯主持	3:6:PER
他加入了岗头人民政府	4:10:ORG
报告由柴湾证券交易所提交	3:10:ORG
证券交易今天恢复正常	-
团队前往联丰路开展调研	4:7:LOC
项目位于恩施市附近	4:7:LOC
我们与皮窝计算所签署协议	3:8:ORG
记者采访了陆琳并发布报道	5:7:PER
项目位于好力保乡附近	4:8:LOC
货物已经抵达将军山	6:9:LOC
医院附近交通拥堵	-
报告由黄龙商贸计算所提交	3:10:ORG
深圳证券交易所发布通知	0:7:ORG
郭菩萨前往涧下村并加入涧下技术委员会	0:3:PER,5:8:LOC,11:18:ORG
戈特精神广为流传	0:2:PER
他从双碑村返回	2:5:LOC
阿弘今天发表讲话	0:2:PER
会议由何如宠主持	3:6:PER
研究院正在建设新平台	-
我们与溪头计算所签署协议	3:8:ORG
报告由下坑数据研究院提交	3:10:ORG
金榜数据研究院发布了新模型	0:7:ORG
他加入了科华北人民医院	4:11:ORG
汪洋大海一望无际	-
将军证券交易所发布了新模型	0:7:ORG
他加入了天门联合实验室	4:11:ORG
南京市长今天讲话	0:2:LOC
他从楚雄县返回	2:5:LOC
他从黎涌上村返回	2:6:LOC
我们与广东台山市台城大学签署协议	3:12:ORG
货物已经抵达大新路	6:9:LOC
金斯伯格精神广为流传	0:4:PER
西墕证券交易所发布了新模型	0:7:ORG
他加入了光华村人民医院	4:11:ORG
货物已经抵达东山坡社区	6:11:LOC
报告由部门提交	-
桂庙新村发布了最新通知	0:4:LOC
项目位于增城市附近	4:7:LOC
我们与万县人民医院签署协议	3:9:ORG
李汝珍在技术团队工作	0:3:PER
报告由刘家馆子人民医院提交	3:11:ORG
患者服用药物控制症状	-
阿栾参加了项目评审	0:2:PER
他加入了园林产业集团	4:10:ORG
杨惠珊前往兰干路并加入董王人民医院	0:3:PER,5:8:LOC,11:17:ORG
方润华参加了项目评审	0:3:PER
周作人精神广为流传	0:3:PER
货物已经抵达宁夏湾	6:9:LOC
徐凯前往列瓦乡并加入列瓦数据研究院	0:2:PER,4:7:LOC,10:17:ORG
团队前往现场开展调研	-
会议由李国江主持	3:6:PER
报告由双寺社人民政府提交	3:10:ORG
他从桂阳村返回	2:5:LOC
他加入了鸿山智算中心	4:10:ORG
西湖证券交易所完成系统升级	0:7:ORG
联盟人民政府发布了新模型	0:6:ORG
团队前往现场开展调研	-
松山千春前往小将村并加入小将科学院	0:4:PER,6:9:LOC,12:17:ORG
项目位于西利社区附近	4:8:LOC
我们联系了何基	5:7:PER
黄镇球在技术团队工作	0:3:PER
孙匡在技术团队工作	0:2:PER
黄玉莹精神广为流传	0:3:PER
赵奢今天发表讲话	0:2:PER
他从站儿巷镇返回	2:6:LOC
我们联系了郭涛	5:7:PER
通北产业集团完成系统升级	0:6:ORG
他从嘉禾北京城返回	2:7:LOC
牛雨田前往和铺村并加入和铺产业集团	0:3:PER,5:8:LOC,11:17:ORG
高昂的成本需要控制	-
记者采访了林黛并发布报道	5:7:PER
证券交易今天恢复正常	-
项目位于刘村附近	4:6:LOC
洪迈在技术团队工作	0:2:PER
证券交易今天恢复正常	-
报告由航天中人民医院提交	3:10:ORG
他从北正街返回	2:5:LOC
虹桥开发区发布了最新通知	0:5:LOC
门头沟滨河小科技有限公司发布了新模型	0:12:ORG
叶美香参加了项目评审	0:3:PER
王婷婷今天发表讲话	0:3:PER
清河小营东路发布了最新通知	0:6:LOC
他加入了陆家浜数据研究院	4:12:ORG
潘锦参加了项目评审	0:2:PER
徐世计算所发布了新模型	0:5:ORG
净月大街发布了最新通知	0:4:LOC
他从党庙村返回	2:5:LOC
报告由堽城产业集团提交	3:9:ORG
我们与宁桥大学签署协议	3:7:ORG
大学毕业以后继续深造	-
他从健美乡返回	2:5:LOC
货物已经抵达新荻村	6:9:LOC
田间管理需要加强	-
陈宓在技术团队工作	0:2:PER
项目位于如意街附近	4:7:LOC
证券交易今天恢复正常	-
吴湖帆精神广为流传	0:3:PER
汤显祖在技术团队工作	0:3:PER
方坪中心医院完成系统升级	0:6:ORG
车径行今天发表讲话	0:3:PER
我们与大树湾商业银行签署协议	3:10:ORG
会议由刘志丹主持	3:6:PER
项目位于贾豁乡附近	4:7:LOC
普通用户今天提交申请	-
临夏州发布了最新通知	0:3:LOC
货物已经抵达华兴大街	6:10:LOC
他从南墙缝社区返回	2:7:LOC
团队前往柯岩风景区开展调研	4:9:LOC
申梅精神广为流传	0:2:PER
报告由部门提交	-
黄桂秋今天发表讲话	0:3:PER
团队前往安达县开展调研	4:7:LOC
患者服用药物控制症状	-
记者采访了黎元洪并发布报道	5:8:PER
新文路步行街发布了最新通知	0:6:LOC
好又多超大学发布了新模型	0:6:ORG
李禹东在技术团队工作	0:3:PER
小李明天参加会议	0:2:PER
负责人参加了项目评审	-
宋霖在技术团队工作	0:2:PER
汪洋大海一望无际	-
同庆智算中心发布了新模型	0:6:ORG
王国维精神广为流传	0:3:PER
项目位于商丘县附近	4:7:LOC
他从自治区返回	2:5:LOC
金沪人民政府完成系统升级	0:6:ORG
万科上东区发布了最新通知	0:5:LOC
祁顺参加了项目评审	0:2:PER
这所大学今天开学	-
揭东科技有限公司完成系统升级	0:8:ORG
我们与上海青浦区金泽科技有限公司签署协议	3:16:ORG
他加入了鄄城产业集团	4:10:ORG
系统正在正常运行	-
货物已经抵达陕西南路	6:10:LOC
高昂的成本需要控制	-
报告由岗山数据研究院提交	3:10:ORG
定波乡发布了最新通知	0:3:LOC
路易斯安那证券交易所发布了新模型	0:10:ORG
他加入了大西韩数据研究院	4:12:ORG
雷永青参加了项目评审	0:3:PER
记者采访了晁补之并发布报道	5:8:PER
我们与石古计算所签署协议	3:8:ORG
刘博平精神广为流传	0:3:PER
会议由钱大昕主持	3:6:PER
我们与江城人民医院签署协议	3:9:ORG
王易前往大井巷并加入大井商业银行	0:2:PER,4:7:LOC,10:16:ORG
项目位于十里坪镇附近	4:8:LOC
他加入了后盐技术委员会	4:11:ORG
关河西路发布了最新通知	0:4:LOC
货物已经抵达厦门市	6:9:LOC
报告由部门提交	-
团队前往新岭村开展调研	4:7:LOC
常红利前往薛家河镇并加入薛家河商业银行	0:3:PER,5:9:LOC,12:19:ORG
黄石科学院完成系统升级	0:5:ORG
大学毕业以后继续深造	-
我们联系了张志让	5:8:PER
我们联系了谷正文	5:8:PER
报告由利州科学院提交	3:8:ORG
胜利一人民政府发布了新模型	0:7:ORG
他从磨滩镇返回	2:5:LOC
我们联系了孙海英	5:8:PER
陈瑸在技术团队工作	0:2:PER
研究生命起源	-
普通用户今天提交申请	-
团队前往保安寺街开展调研	4:8:LOC
他从和林村返回	2:5:LOC
货物已经抵达长湾村	6:9:LOC
塔尔根计算所发布了新模型	0:6:ORG
证券交易今天恢复正常	-
报告由阎庄数据研究院提交	3:10:ORG
赵彦前往千军台村并加入千军台科技有限公司	0:2:PER,4:8:LOC,11:20:ORG
柳敏精神广为流传	0:2:PER
南箐证券交易所完成系统升级	0:7:ORG
我们与抚州证券交易所签署协议	3:10:ORG
他从陈南村返回	2:5:LOC
记者采访了王欣并发布报道	5:7:PER
林家坪联合实验室完成系统升级	0:8:ORG
孙毓汶在技术团队工作	0:3:PER
德阳市发布了最新通知	0:3:LOC
报告由饶丰人民政府提交	3:9:ORG
团队前往挹翠路开展调研	4:7:LOC
货物已经抵达魁岐洲	6:9:LOC
侯伟前往吴儿城并加入吴儿人民医院	0:2:PER,4:7:LOC,10:16:ORG
他从兰田村返回	2:5:LOC
他从八角南路返回	2:6:LOC
记者采访了武成并发布报道	5:7:PER
项目位于石峰村附近	4:7:LOC
我们与铁东计算所签署协议	3:8:ORG
医院附近交通比较拥堵	-
苏雪林参加了项目评审	0:3:PER
楚悼王前往海西州并加入海西计算所	0:3:PER,5:8:LOC,11:16:ORG
五缘中心医院完成系统升级	0:6:ORG
开明街发布了最新通知	0:3:LOC
会议由小纪主持	3:5:PER
团队前往梧山村开展调研	4:7:LOC
我们与双清中计算所签署协议	3:9:ORG
阳阿前往兰州东路并加入兰州东产业集团	0:2:PER,4:8:LOC,11:18:ORG
水坑产业集团发布了新模型	0:6:ORG
曹远征今天发表讲话	0:3:PER
廖政国参加了项目评审	0:3:PER
他从西吉尔镇返回	2:6:LOC
项目位于潞城营四村附近	4:9:LOC
他从甲正街返回	2:5:LOC
铁力科技有限公司完成系统升级	0:8:ORG
青松科学院发布了新模型	0:5:ORG
高昂的成本需要控制	-
报告由粉房琉璃街社科技有限公司提交	3:15:ORG
我们联系了李劫	5:7:PER
珍田技术委员会发布了新模型	0:7:ORG
团队前往龙凤村开展调研	4:7:LOC
龚垭乡发布了最新通知	0:3:LOC
他从草科藏族乡返回	2:7:LOC
张颂文在技术团队工作	0:3:PER
宏丰产业集团发布了新模型	0:6:ORG
货物已经抵达龙回苑社区	6:11:LOC
海滨新村发布了最新通知	0:4:LOC
你还小明天再说	-
这所大学今天开学	-
槐树岭社人民医院完成系统升级	0:8:ORG
中心大学发布了新模型	0:4:ORG
团队前往黄金桥开发区开展调研	4:10:LOC
团队前往田横路开展调研	4:7:LOC
他从双屿工业区返回	2:7:LOC
我们与亚丁智算中心签署协议	3:9:ORG
下曾计算所完成系统升级	0:5:ORG
会议由王允主持	3:5:PER
货物已经抵达吴厝村	6:9:LOC
项目位于华严北里社区附近	4:10:LOC
德平智算中心发布了新模型	0:6:ORG
上西坑计算所完成系统升级	0:6:ORG
双合村发布了最新通知	0:3:LOC
田间管理需要加强	-
我们与凤翔科技开发大学签署协议	3:11:ORG
他从淮河西路返回	2:6:LOC
爱工产业集团完成系统升级	0:6:ORG
他从青山河返回	2:5:LOC
他从三烈乡返回	2:5:LOC
记者采访了哈里森并发布报道	5:8:PER
货物已经抵达小东镇	6:9:LOC
张雨森参加了项目评审	0:3:PER
西北勒乡发布了最新通知	0:4:LOC
他加入了坂田科学院	4:9:ORG
报告由洮南数据研究院提交	3:10:ORG
我们联系了周信芳	5:8:PER
团队前往四方新村开展调研	4:8:LOC
他从师家营村返回	2:6:LOC
会议由潘玮柏主持	3:6:PER
这所大学今天开学	-
报告由前临商业银行提交	3:9:ORG
记者采访了彭葵并发布报道	5:7:PER
普通用户今天提交申请	-
詹天佑在技术团队工作	0:3:PER
报告由控江技术委员会提交	3:10:ORG
张业参加了项目评审	0:2:PER
福民计算所完成系统升级	0:5:ORG
阿逯今天发表讲话	0:2:PER
货物已经抵达河上村	6:9:LOC
货物已经抵达桦甸市	6:9:LOC
我们与春熙人民政府签署协议	3:9:ORG
报告由朱田技术委员会提交	3:10:ORG
报告由留侯科学院提交	3:8:ORG
昭忠证券交易所发布了新模型	0:7:ORG
巴拉克在技术团队工作	0:3:PER
天城产业集团发布了新模型	0:6:ORG
项目位于浏阳市附近	4:7:LOC
报告由宁国计算所提交	3:8:ORG
阿强加入云海数据研究院	0:2:PER,4:11:ORG
他加入了乐群中心医院	4:10:ORG
负责人参加了项目评审	-
枫相中心医院发布了新模型	0:6:ORG
他加入了柳影智算中心	4:10:ORG
市长春节前发表讲话	-
双格村发布了最新通知	0:3:LOC
马跑泉人民医院完成系统升级	0:7:ORG
文锦南路发布了最新通知	0:4:LOC
我们联系了王鹏运	5:8:PER
我们与子长智算中心签署协议	3:9:ORG
会议由王竑主持	3:5:PER
项目位于防城附近	4:6:LOC
冯子材精神广为流传	0:3:PER
他加入了西邵渠产业集团	4:11:ORG
项目位于通阁路附近	4:7:LOC
项目位于半屏山路附近	4:8:LOC
昆山县发布了最新通知	0:3:LOC
项目位于林农镇附近	4:7:LOC
项目位于月牙山附近	4:7:LOC
我们联系了范康	5:7:PER
普通用户今天提交申请	-
报告由贵县人民政府提交	3:9:ORG
