# text	start:end:type,...
系统正在处理关于全心全意的常规信息。	-
团队计划前往亚洲开展调研。	6:8:LOC
用户正在比较源动力的使用体验。	6:9:PRODUCT
系统正在处理关于对影成三人的常规信息。	-
团队计划前往南疆开展调研。	6:8:LOC
分析师正在研究电子商务。	7:11:TECH
团队计划前往菜市场开展调研。	6:9:LOC
本案适用法制办。	4:7:LAW
项目正在评估子进程的应用。	6:9:TECH
观测人员记录到了枪猎犬。	8:11:SPECIES
项目正在评估编译器的应用。	6:9:TECH
本案适用经营许可证。	4:9:LAW
文档重点解释了析构函数。	7:11:TECH
本次文档说明了横眉冷对千夫指的基本情况。	-
系统正在处理关于一视同仁的常规信息。	-
福布斯的生平资料正在整理。	0:3:PER
文档重点解释了主机名。	7:10:TECH
本次文档说明了黄河入海流的基本情况。	-
本次路线将经过汶川后继续向前。	7:9:LOC
团队计划前往中医院开展调研。	6:9:LOC
研究人员正在分析营养。	8:10:TECH
本案适用劳动和社会保障部。	4:12:LAW
医学资料中记录了积水。	8:10:TECH
文档重点解释了作用域。	7:10:TECH
项目正在评估点击事件的应用。	6:10:TECH
项目正在评估内存地址的应用。	6:10:TECH
分析师正在研究计算。	7:9:TECH
财经报告重点说明了网点。	9:11:TECH
团队计划前往经开区开展调研。	6:9:LOC
系统正在处理关于天堑变通途的常规信息。	-
本次路线将经过儿童医院后继续向前。	7:11:LOC
文档重点解释了客户端。	7:10:TECH
本案适用争执。	4:6:LAW
展会上重点介绍了雷诺的配置。	8:10:PRODUCT
观测人员记录到了纽芬兰犬。	8:12:SPECIES
系统正在处理关于刑不上大夫的常规信息。	-
用户正在评价胡萝卜素的口感。	6:10:PRODUCT
系统正在处理关于信誓旦旦的常规信息。	-
项目正在评估内存泄露的应用。	6:10:TECH
分析师正在研究披露。	7:9:TECH
系统正在处理关于微不足道的常规信息。	-
研究人员重新核对了梅兰芳的相关记录。	9:12:PER
医学资料中记录了骨科。	8:10:TECH
本次路线将经过汽车站后继续向前。	7:10:LOC
菜单重点介绍了泡菜。	7:9:PRODUCT
本次路线将经过北川后继续向前。	7:9:LOC
项目正在评估方法调用的应用。	6:10:TECH
展会上重点介绍了全保的配置。	8:10:PRODUCT
观测人员记录到了紫贝。	8:10:SPECIES
张超的生平资料正在整理。	0:2:PER
观测人员记录到了牛蝇。	8:10:SPECIES
研究人员正在分析性行为。	8:11:TECH
医学资料中记录了指甲。	8:10:TECH
李鹏的生平资料正在整理。	0:2:PER
本次路线将经过江汉后继续向前。	7:9:LOC
研究人员重新核对了普京的相关记录。	9:11:PER
张静的生平资料正在整理。	0:2:PER
团队计划前往浙江省开展调研。	6:9:LOC
本次文档说明了众志成城的基本情况。	-
团队计划前往火山开展调研。	6:8:LOC
系统正在处理关于不厌其烦的常规信息。	-
用户正在比较跃进的使用体验。	6:8:PRODUCT
项目正在评估get方法的应用。	6:11:TECH
本次路线将经过前海后继续向前。	7:9:LOC
报告引用了破案。	5:7:LAW
多宝鱼被列入本次物种调查名单。	0:3:SPECIES
本次路线将经过村里后继续向前。	7:9:LOC
研究人员重新核对了威尔逊的相关记录。	9:12:PER
研究人员重新核对了苗圃的相关记录。	9:11:PER
团队计划前往水厂开展调研。	6:8:LOC
项目正在评估二进制文件的应用。	6:11:TECH
菜单重点介绍了冬瓜。	7:9:PRODUCT
本次路线将经过海底后继续向前。	7:9:LOC
系统正在处理关于迫不及待的常规信息。	-
文档重点解释了字节流。	7:10:TECH
团队计划前往苏州市开展调研。	6:9:LOC
项目正在评估Java代码的应用。	6:12:TECH
戴安娜的生平资料正在整理。	0:3:PER
菜单重点介绍了湘菜。	7:9:PRODUCT
浮游动物被列入本次物种调查名单。	0:4:SPECIES
报告引用了侵犯版权。	5:9:LAW
展会上重点介绍了达路的配置。	8:10:PRODUCT
菜单重点介绍了大肉。	7:9:PRODUCT
财经报告重点说明了流通。	9:11:TECH
研究人员正在分析标本。	8:10:TECH
报告引用了泄密。	5:7:LAW
系统正在处理关于金就砺则利的常规信息。	-
系统正在处理关于惊心动魄的常规信息。	-
团队计划前往东门开展调研。	6:8:LOC
本次文档说明了引以为戒的基本情况。	-
报告引用了加工贸易。	5:9:LAW
本案适用签约。	4:6:LAW
本案适用地方法。	4:7:LAW
医学资料中记录了疗法。	8:10:TECH
观测人员记录到了猫科动物。	8:12:SPECIES
文档重点解释了字节数。	7:10:TECH
项目正在评估快捷键的应用。	6:9:TECH
观测人员记录到了文金。	8:10:SPECIES
项目正在评估可扩展性的应用。	6:10:TECH
用户正在评价青团的口感。	6:8:PRODUCT
本次路线将经过京城后继续向前。	7:9:LOC
本次路线将经过家乐福后继续向前。	7:10:LOC
本次路线将经过二环路后继续向前。	7:10:LOC
团队计划前往德国开展调研。	6:8:LOC
报告引用了国家法律。	5:9:LAW
鱼医被列入本次物种调查名单。	0:2:SPECIES
刘欢的生平资料正在整理。	0:2:PER
本次路线将经过城区后继续向前。	7:9:LOC
本次文档说明了老夫聊发少年狂的基本情况。	-
本次路线将经过团市委后继续向前。	7:10:LOC
财经报告重点说明了注册。	9:11:TECH
报告引用了执法人员。	5:9:LAW
团队计划前往汽车站开展调研。	6:9:LOC
医学资料中记录了颈椎。	8:10:TECH
本案适用章程。	4:6:LAW
陈明的生平资料正在整理。	0:2:PER
本次文档说明了久而久之的基本情况。	-
项目正在评估主机名的应用。	6:9:TECH
本次路线将经过东站后继续向前。	7:9:LOC
系统正在处理关于曲径通幽处的常规信息。	-
系统正在处理关于无以成江海的常规信息。	-
医学资料中记录了贫血。	8:10:TECH
野牛被列入本次物种调查名单。	0:2:SPECIES
研究人员重新核对了杨辉的相关记录。	9:11:PER
财经报告重点说明了发展。	9:11:TECH
研究人员正在分析保健。	8:10:TECH
观测人员记录到了鹦哥。	8:10:SPECIES
研究人员重新核对了马化腾的相关记录。	9:12:PER
研究人员重新核对了曼苏尔的相关记录。	9:12:PER
研究人员正在分析心痛。	8:10:TECH
财经报告重点说明了推荐。	9:11:TECH
报告引用了扶贫。	5:7:LAW
用户正在比较止回阀的使用体验。	6:9:PRODUCT
观测人员记录到了紫印。	8:10:SPECIES
本次文档说明了学而不思则罔的基本情况。	-
江青的生平资料正在整理。	0:2:PER
团队计划前往西城开展调研。	6:8:LOC
本案适用农村信用社。	4:9:LAW
本次路线将经过纽约州后继续向前。	7:10:LOC
李安的生平资料正在整理。	0:2:PER
观测人员记录到了嘉好。	8:10:SPECIES
文档重点解释了解决方法。	7:11:TECH
用户正在比较指南者的使用体验。	6:9:PRODUCT
谭嗣同的生平资料正在整理。	0:3:PER
本案适用推翻。	4:6:LAW
医学资料中记录了疫病。	8:10:TECH
项目正在评估套接字的应用。	6:9:TECH
本次路线将经过万里后继续向前。	7:9:LOC
分析师正在研究支出。	7:9:TECH
本次路线将经过楼里后继续向前。	7:9:LOC
医学资料中记录了禽流感病毒。	8:13:TECH
报告引用了青霉素。	5:8:LAW
美利奴羊被列入本次物种调查名单。	0:4:SPECIES
溥仪的生平资料正在整理。	0:2:PER
恐龙脚印被列入本次物种调查名单。	0:4:SPECIES
财经报告重点说明了招商。	9:11:TECH
分析师正在研究调整。	7:9:TECH
财经报告重点说明了债务。	9:11:TECH
项目正在评估重启的应用。	6:8:TECH
文档重点解释了根目录。	7:10:TECH
苏醒的生平资料正在整理。	0:2:PER
展会上重点介绍了北京现代的配置。	8:12:PRODUCT
本次路线将经过虹桥后继续向前。	7:9:LOC
本次路线将经过购物中心后继续向前。	7:11:LOC
研究人员正在分析诊治。	8:10:TECH
信鸽被列入本次物种调查名单。	0:2:SPECIES
团队计划前往贵阳市开展调研。	6:9:LOC
系统正在处理关于青山郭外斜的常规信息。	-
分析师正在研究创造。	7:9:TECH
滩羊被列入本次物种调查名单。	0:2:SPECIES
医学资料中记录了坏死。	8:10:TECH
研究人员正在分析药剂。	8:10:TECH
报告引用了回避。	5:7:LAW
本次路线将经过青山后继续向前。	7:9:LOC
报告引用了归还。	5:7:LAW
报告引用了农村信用社。	5:10:LAW
用户正在评价烤鱼的口感。	6:8:PRODUCT
团队计划前往公安开展调研。	6:8:LOC
医学资料中记录了腹泻。	8:10:TECH
本次文档说明了祸患常积于忽微的基本情况。	-
系统正在处理关于史无前例的常规信息。	-
系统正在处理关于新松恨不高千尺的常规信息。	-
医学资料中记录了儿科。	8:10:TECH
团队计划前往车上开展调研。	6:8:LOC
项目正在评估配置信息的应用。	6:10:TECH
本案适用医药费。	4:7:LAW
研究人员正在分析禽流感病毒。	8:13:TECH
研究人员正在分析拇指。	8:10:TECH
医学资料中记录了医疗保障。	8:12:TECH
系统正在处理关于昨夜西风凋碧树的常规信息。	-
研究人员重新核对了刘胡兰的相关记录。	9:12:PER
鱼狗被列入本次物种调查名单。	0:2:SPECIES
研究人员正在分析分化。	8:10:TECH
本次路线将经过急救中心后继续向前。	7:11:LOC
项目正在评估加载的应用。	6:8:TECH
项目正在评估系统资源的应用。	6:10:TECH
团队计划前往看守所开展调研。	6:9:LOC
文档重点解释了发送消息。	7:11:TECH
用户正在评价二锅头的口感。	6:9:PRODUCT
文档重点解释了执行过程。	7:11:TECH
本次文档说明了不可忽视的基本情况。	-
观测人员记录到了猿人。	8:10:SPECIES
本次路线将经过商店后继续向前。	7:9:LOC
本次路线将经过花园后继续向前。	7:9:LOC
本案适用嫖客。	4:6:LAW
观测人员记录到了长江水产研究所。	8:15:SPECIES
报告引用了挪用。	5:7:LAW
报告引用了规范性文件。	5:10:LAW
本次文档说明了往事越千年的基本情况。	-
医学资料中记录了标本。	8:10:TECH
报告引用了地方法。	5:8:LAW
分析师正在研究投诉。	7:9:TECH
展会上重点介绍了发动机转速的配置。	8:13:PRODUCT
本次路线将经过小店后继续向前。	7:9:LOC
团队计划前往图书馆开展调研。	6:9:LOC
文档重点解释了文本框。	7:10:TECH
研究人员正在分析缓解。	8:10:TECH
项目正在评估发送消息的应用。	6:10:TECH
用户正在比较布加迪的使用体验。	6:9:PRODUCT
研究人员重新核对了阿波罗的相关记录。	9:12:PER
项目正在评估数组的应用。	6:8:TECH
本次路线将经过遗址后继续向前。	7:9:LOC
陈寅恪的生平资料正在整理。	0:3:PER
团队计划前往小店开展调研。	6:8:LOC
团队计划前往实验小学开展调研。	6:10:LOC
分析师正在研究幅度。	7:9:TECH
研究人员正在分析生殖。	8:10:TECH
展会上重点介绍了制动液的配置。	8:11:PRODUCT
医学资料中记录了黏膜。	8:10:TECH
本案适用清偿。	4:6:LAW
报告引用了拆迁。	5:7:LAW
本次路线将经过迎春后继续向前。	7:9:LOC
研究人员正在分析硬化。	8:10:TECH
本次文档说明了忽如一夜春风来的基本情况。	-
用户正在评价芭蕉的口感。	6:8:PRODUCT
观测人员记录到了猫鱼。	8:10:SPECIES
本次文档说明了人生得意须尽欢的基本情况。	-
研究人员重新核对了李琳的相关记录。	9:11:PER
医学资料中记录了开裂。	8:10:TECH
菜单重点介绍了培根。	7:9:PRODUCT
本次路线将经过龙头后继续向前。	7:9:LOC
展会上重点介绍了德尔福的配置。	8:11:PRODUCT
研究人员重新核对了黄兴的相关记录。	9:11:PER
研究人员重新核对了王斌的相关记录。	9:11:PER
报告引用了弄虚作假。	5:9:LAW
肯尼迪的生平资料正在整理。	0:3:PER
本案适用虚假广告。	4:8:LAW
项目正在评估提高效率的应用。	6:10:TECH
财经报告重点说明了主管部门。	9:13:TECH
医学资料中记录了药物。	8:10:TECH
项目正在评估文件类型的应用。	6:10:TECH
本次路线将经过交通大学后继续向前。	7:11:LOC
齐白石的生平资料正在整理。	0:3:PER
本次文档说明了孔雀东南飞的基本情况。	-
医学资料中记录了发病率。	8:11:TECH
报告引用了改革。	5:7:LAW
研究人员正在分析自杀。	8:10:TECH
姚明的生平资料正在整理。	0:2:PER
本次文档说明了陷入僵局的基本情况。	-
本次路线将经过公交公司后继续向前。	7:11:LOC
研究人员正在分析高危。	8:10:TECH
系统正在处理关于纷至沓来的常规信息。	-
分析师正在研究组合。	7:9:TECH
本次文档说明了兴致勃勃的基本情况。	-
本次文档说明了一技之长的基本情况。	-
研究人员正在分析肾脏。	8:10:TECH
分析师正在研究委员会。	7:10:TECH
系统正在处理关于床前明月光的常规信息。	-
研究人员重新核对了周恩来的相关记录。	9:12:PER
文档重点解释了二维数组。	7:11:TECH
团队计划前往楼房开展调研。	6:8:LOC
本案适用宅基地。	4:7:LAW
团队计划前往北岸开展调研。	6:8:LOC
项目正在评估.h的应用。	6:8:TECH
系统正在处理关于雪中送炭的常规信息。	-
展会上重点介绍了标枪的配置。	8:10:PRODUCT
项目正在评估结果集的应用。	6:9:TECH
本次路线将经过南区后继续向前。	7:9:LOC
本次路线将经过衡阳后继续向前。	7:9:LOC
陈水扁的生平资料正在整理。	0:3:PER
研究人员正在分析创伤。	8:10:TECH
本次路线将经过自治区后继续向前。	7:10:LOC
用户正在比较乙炔的使用体验。	6:8:PRODUCT
冠毛犬被列入本次物种调查名单。	0:3:SPECIES
医学资料中记录了出血。	8:10:TECH
本次路线将经过外滩后继续向前。	7:9:LOC
团队计划前往台北开展调研。	6:8:LOC
文档重点解释了参数类型。	7:11:TECH
团队计划前往农贸市场开展调研。	6:10:LOC
本次路线将经过洛杉矶后继续向前。	7:10:LOC
艾伦的生平资料正在整理。	0:2:PER
报告引用了国家主席。	5:9:LAW
本次文档说明了思而不学则殆的基本情况。	-
系统正在处理关于公正廉洁的常规信息。	-
展会上重点介绍了利欧的配置。	8:10:PRODUCT
用户正在比较展馆的使用体验。	6:8:PRODUCT
菜单重点介绍了奶油。	7:9:PRODUCT
菜单重点介绍了胡萝卜素。	7:11:PRODUCT
马云的生平资料正在整理。	0:2:PER
本案适用有关部门。	4:8:LAW
雷锋的生平资料正在整理。	0:2:PER
本次文档说明了理所当然的基本情况。	-
文档重点解释了基类。	7:9:TECH
医学资料中记录了呼吸系统。	8:12:TECH
系统正在处理关于自力更生的常规信息。	-
项目正在评估入栈的应用。	6:8:TECH
观测人员记录到了苏格兰梗。	8:12:SPECIES
财经报告重点说明了公司。	9:11:TECH
用户正在评价油茶的口感。	6:8:PRODUCT
本次路线将经过房地产公司后继续向前。	7:12:LOC
观测人员记录到了滑子蘑。	8:11:SPECIES
医学资料中记录了过敏。	8:10:TECH
系统正在处理关于不辱使命的常规信息。	-
团队计划前往富士康开展调研。	6:9:LOC
汤姆的生平资料正在整理。	0:2:PER
约瑟夫的生平资料正在整理。	0:3:PER
研究人员正在分析失调。	8:10:TECH
本次路线将经过公安后继续向前。	7:9:LOC
观测人员记录到了韭菜子。	8:11:SPECIES
本次路线将经过南开大学后继续向前。	7:11:LOC
菜单重点介绍了鸭肉。	7:9:PRODUCT
文档重点解释了线段树。	7:10:TECH
本次文档说明了力不从心的基本情况。	-
本次路线将经过矿产资源后继续向前。	7:11:LOC
系统正在处理关于夕阳无限好的常规信息。	-
用户正在评价杂碎的口感。	6:8:PRODUCT
团队计划前往中国银行开展调研。	6:10:LOC
用户正在评价苹果的口感。	6:8:PRODUCT
报告引用了医疗保险。	5:9:LAW
本次文档说明了不亦乐乎的基本情况。	-
团队计划前往西门开展调研。	6:8:LOC
李辉的生平资料正在整理。	0:2:PER
团队计划前往古城开展调研。	6:8:LOC
报告引用了年度报告。	5:9:LAW
本次路线将经过县公安局后继续向前。	7:11:LOC
展会上重点介绍了车载电话的配置。	8:12:PRODUCT
菜单重点介绍了土豆。	7:9:PRODUCT
哈里的生平资料正在整理。	0:2:PER
团队计划前往黑龙江省开展调研。	6:10:LOC
报告引用了小产权房。	5:9:LAW
分析师正在研究资源。	7:9:TECH
团队计划前往儿童医院开展调研。	6:10:LOC
分析师正在研究购买。	7:9:TECH
系统正在处理关于不正之风的常规信息。	-
用户正在评价腊肉的口感。	6:8:PRODUCT
医学资料中记录了新生儿。	8:11:TECH
萨摩被列入本次物种调查名单。	0:2:SPECIES
团队计划前往军营开展调研。	6:8:LOC
团队计划前往工商局开展调研。	6:9:LOC
张斌的生平资料正在整理。	0:2:PER
文档重点解释了子目录。	7:10:TECH
研究人员正在分析无偿献血。	8:12:TECH
观测人员记录到了毛滴虫。	8:11:SPECIES
财经报告重点说明了特区。	9:11:TECH
本次路线将经过西湖后继续向前。	7:9:LOC
本次文档说明了归根结底的基本情况。	-
本案适用国家主席。	4:8:LAW
研究人员正在分析睡眠。	8:10:TECH
迎燕被列入本次物种调查名单。	0:2:SPECIES
财经报告重点说明了创造。	9:11:TECH
医学资料中记录了血脂。	8:10:TECH
本次路线将经过中国银行后继续向前。	7:11:LOC
团队计划前往水电站开展调研。	6:9:LOC
系统正在处理关于相煎何太急的常规信息。	-
本案适用挪用公款。	4:8:LAW
本次路线将经过民政局后继续向前。	7:10:LOC
团队计划前往三角开展调研。	6:8:LOC
菜单重点介绍了桔子。	7:9:PRODUCT
诸葛亮的生平资料正在整理。	0:3:PER
梁实秋的生平资料正在整理。	0:3:PER
医学资料中记录了包扎。	8:10:TECH
团队计划前往经济带开展调研。	6:9:LOC
项目正在评估Web服务器的应用。	6:12:TECH
展会上重点介绍了玩车的配置。	8:10:PRODUCT
报告引用了非法。	5:7:LAW
研究人员正在分析吸收。	8:10:TECH
分析师正在研究统计。	7:9:TECH
本次路线将经过电台后继续向前。	7:9:LOC
系统正在处理关于那人却在灯火阑珊处的常规信息。	-
本次路线将经过经开区后继续向前。	7:10:LOC
本案适用门户网站。	4:8:LAW
研究人员重新核对了爱德华的相关记录。	9:12:PER
团队计划前往国家工商总局开展调研。	6:12:LOC
财经报告重点说明了营销。	9:11:TECH
本次文档说明了可见一斑的基本情况。	-
鹿衔草被列入本次物种调查名单。	0:3:SPECIES
本次文档说明了别有用心的基本情况。	-
分析师正在研究房地产。	7:10:TECH
系统正在处理关于东边日出西边雨的常规信息。	-
文档重点解释了本地文件。	7:11:TECH
展会上重点介绍了小排量汽车的配置。	8:13:PRODUCT
本次路线将经过国税局后继续向前。	7:10:LOC
观测人员记录到了营养性疾病。	8:13:SPECIES
本案适用职权。	4:6:LAW
文档重点解释了子线程。	7:10:TECH
系统正在处理关于水到渠成的常规信息。	-
报告引用了国务院发展研究中心。	5:14:LAW
观测人员记录到了珍菊降压片。	8:13:SPECIES
菜单重点介绍了芥末。	7:9:PRODUCT
医学资料中记录了缝合。	8:10:TECH
团队计划前往分店开展调研。	6:8:LOC
分析师正在研究设立。	7:9:TECH
团队计划前往丰满开展调研。	6:8:LOC
医学资料中记录了视觉。	8:10:TECH
文档重点解释了测试数据。	7:11:TECH
用户正在评价花菜的口感。	6:8:PRODUCT
本次文档说明了采菊东篱下的基本情况。	-
系统正在处理关于为之于未有的常规信息。	-
钱鼠被列入本次物种调查名单。	0:2:SPECIES
系统正在处理关于惊魂未定的常规信息。	-
本次文档说明了泪流满面的基本情况。	-
展会上重点介绍了温度传感器的配置。	8:13:PRODUCT
本次路线将经过消防队后继续向前。	7:10:LOC
展会上重点介绍了镀锌板的配置。	8:11:PRODUCT
医学资料中记录了细菌。	8:10:TECH
研究人员正在分析疗程。	8:10:TECH
杨辉的生平资料正在整理。	0:2:PER
研究人员正在分析失眠。	8:10:TECH
布莱尔的生平资料正在整理。	0:3:PER
本次路线将经过增城后继续向前。	7:9:LOC
本次文档说明了东方风来满眼春的基本情况。	-
用户正在评价果肉的口感。	6:8:PRODUCT
文档重点解释了体系结构。	7:11:TECH
系统正在处理关于天涯共此时的常规信息。	-
本案适用标注。	4:6:LAW
本案适用债权人。	4:7:LAW
团队计划前往桥头开展调研。	6:8:LOC
文档重点解释了带参数。	7:10:TECH
医学资料中记录了肌肉。	8:10:TECH
本次路线将经过城西后继续向前。	7:9:LOC
报告引用了裁定。	5:7:LAW
本次路线将经过大厅后继续向前。	7:9:LOC
本次路线将经过楼房后继续向前。	7:9:LOC
菜单重点介绍了乙醇。	7:9:PRODUCT
研究人员正在分析世界卫生组织。	8:14:TECH
项目正在评估权重的应用。	6:8:TECH
团队计划前往公园开展调研。	6:8:LOC
文档重点解释了背景颜色。	7:11:TECH
本案适用仿冒。	4:6:LAW
医学资料中记录了移植。	8:10:TECH
项目正在评估插入数据的应用。	6:10:TECH
研究人员正在分析专科医院。	8:12:TECH
展会上重点介绍了摩托车的配置。	8:11:PRODUCT
财经报告重点说明了时代。	9:11:TECH
项目正在评估属性设置的应用。	6:10:TECH
用户正在评价娃哈哈的口感。	6:9:PRODUCT
研究人员正在分析疫苗。	8:10:TECH
报告引用了手按。	5:7:LAW
杨阳的生平资料正在整理。	0:2:PER
观测人员记录到了中国猫。	8:11:SPECIES
财经报告重点说明了利率。	9:11:TECH
医学资料中记录了肠道。	8:10:TECH
菜单重点介绍了鸡尾酒。	7:10:PRODUCT
系统正在处理关于不解之缘的常规信息。	-
医学资料中记录了防风。	8:10:TECH
用户正在评价石膏的口感。	6:8:PRODUCT
王斌的生平资料正在整理。	0:2:PER
报告引用了政治部。	5:8:LAW
文档重点解释了时间戳。	7:10:TECH
观测人员记录到了滩羊。	8:10:SPECIES
团队计划前往北大开展调研。	6:8:LOC
团队计划前往河流开展调研。	6:8:LOC
研究人员重新核对了李静的相关记录。	9:11:PER
团队计划前往天津市开展调研。	6:9:LOC
本次路线将经过黑马后继续向前。	7:9:LOC
分析师正在研究网络。	7:9:TECH
本案适用伪劣产品。	4:8:LAW
医学资料中记录了睡眠。	8:10:TECH
观测人员记录到了兀龙。	8:10:SPECIES
本次文档说明了身体力行的基本情况。	-
研究人员重新核对了陈冲的相关记录。	9:11:PER
观测人员记录到了野生大熊猫。	8:13:SPECIES
系统正在处理关于决胜千里之外的常规信息。	-
同治的生平资料正在整理。	0:2:PER
本次路线将经过阿联酋后继续向前。	7:10:LOC
本案适用违约金。	4:7:LAW
文档重点解释了用户名。	7:10:TECH
系统正在处理关于一清二楚的常规信息。	-
系统正在处理关于应有尽有的常规信息。	-
用户正在比较中国二手车城的使用体验。	6:12:PRODUCT
家鸡被列入本次物种调查名单。	0:2:SPECIES
瓢虫被列入本次物种调查名单。	0:2:SPECIES
研究人员重新核对了刘德华的相关记录。	9:12:PER
观测人员记录到了三叶虫化石。	8:13:SPECIES
项目正在评估输入框的应用。	6:9:TECH
报告引用了非法经营。	5:9:LAW
研究人员正在分析负荷。	8:10:TECH
医学资料中记录了免疫力。	8:11:TECH
系统正在处理关于小桥流水人家的常规信息。	-
系统正在处理关于于我如浮云的常规信息。	-
用户正在比较德尔福的使用体验。	6:9:PRODUCT
用户正在比较汽车销售服务有限公司的使用体验。	6:16:PRODUCT
团队计划前往中和开展调研。	6:8:LOC
报告引用了公司董事会。	5:10:LAW
系统正在处理关于天涯何处无芳草的常规信息。	-
小萨摩被列入本次物种调查名单。	0:3:SPECIES
约翰逊的生平资料正在整理。	0:3:PER
团队计划前往纽约州开展调研。	6:9:LOC
文档重点解释了提高效率。	7:11:TECH
紫贝被列入本次物种调查名单。	0:2:SPECIES
观测人员记录到了苏眉。	8:10:SPECIES
观测人员记录到了膜管。	8:10:SPECIES
报告引用了行为规范。	5:9:LAW
文档重点解释了点击事件。	7:11:TECH
研究人员正在分析应急办。	8:11:TECH
分析师正在研究方案。	7:9:TECH
团队计划前往台湾海峡开展调研。	6:10:LOC
用户正在比较多宝的使用体验。	6:8:PRODUCT
本次路线将经过安徽省后继续向前。	7:10:LOC
项目正在评估传递参数的应用。	6:10:TECH
观测人员记录到了窄谱。	8:10:SPECIES
系统正在处理关于无可争辩的常规信息。	-
菜单重点介绍了牛奶。	7:9:PRODUCT
本次路线将经过东南后继续向前。	7:9:LOC
医学资料中记录了按摩。	8:10:TECH
文档重点解释了数据存储。	7:11:TECH
展会上重点介绍了挡风玻璃的配置。	8:12:PRODUCT
系统正在处理关于总把新桃换旧符的常规信息。	-
菜单重点介绍了米面。	7:9:PRODUCT
团队计划前往美的开展调研。	6:8:LOC
文档重点解释了分隔符。	7:10:TECH
张勇的生平资料正在整理。	0:2:PER
项目正在评估错误信息的应用。	6:10:TECH
陈涛的生平资料正在整理。	0:2:PER
项目正在评估开源项目的应用。	6:10:TECH
本次路线将经过南昌市后继续向前。	7:10:LOC
团队计划前往剧院开展调研。	6:8:LOC
本次文档说明了天下无难事的基本情况。	-
团队计划前往南都开展调研。	6:8:LOC
本次路线将经过创业园后继续向前。	7:10:LOC
研究人员正在分析抵抗力。	8:11:TECH
系统正在处理关于花重锦官城的常规信息。	-
用户正在比较真空泵的使用体验。	6:9:PRODUCT
用户正在比较连接管的使用体验。	6:9:PRODUCT
展会上重点介绍了倒模的配置。	8:10:PRODUCT
王威的生平资料正在整理。	0:2:PER
财经报告重点说明了产业。	9:11:TECH
团队计划前往西安市开展调研。	6:9:LOC
